"city","state_name","id"
"University of California-Santa Barbara","California","1840153164"
"Eastern Goleta Valley","California","1840153163"
"El Centro Naval Air Facility","California","1840153162"
"Fairfax","California","1840153161"
"Cottonwood","California","1840153160"
"Fort Hunter Liggett","California","1840153159"
"El Monte Mobile Village","California","1840153158"
"Kep'el","California","1840153157"
"Centerville","California","1840153156"
"Lockwood","California","1840153155"
"Petaluma Center","California","1840153154"
"Happy Valley","California","1840153153"
"Alta Sierra","California","1840153152"
"Elfin Forest","California","1840153151"
"Woodville Farm Labor Camp","California","1840153150"
"Wautec","California","1840153149"
"Lakeside","California","1840153148"
"Twin Lakes","California","1840153147"
"Jones Valley","California","1840153146"
"Tehaleh","Washington","1840153145"
"Fairview","Oregon","1840153144"
"Tucson Mountains","Arizona","1840153143"
"Yuma Proving Ground","Arizona","1840153142"
"Timberline-Fernwood","Arizona","1840153141"
"Hobble Creek","Utah","1840153140"
"Four Square Mile","Colorado","1840153139"
"Sapphire Ridge","Montana","1840153138"
"Clear Lake","South Dakota","1840153137"
"South River","New Mexico","1840153136"
"Mountain View","New Mexico","1840153135"
"Valencia","New Mexico","1840153134"
"El Morro Valley","New Mexico","1840153133"
"Kirtland AFB","New Mexico","1840153132"
"Haystack","New Mexico","1840153131"
"Sagar","New Mexico","1840153130"
"Crestview","New Mexico","1840153129"
"La Cueva","New Mexico","1840153128"
"Encantado","New Mexico","1840153127"
"Catalpa Canyon","New Mexico","1840153126"
"Santa Fe Foothills","New Mexico","1840153125"
"Conejo","New Mexico","1840153124"
"Arroyo Hondo","New Mexico","1840153123"
"La Madera","New Mexico","1840153122"
"Purty Rock","New Mexico","1840153121"
"Mount Taylor","New Mexico","1840153120"
"Becenti","New Mexico","1840153119"
"Southwest Sandhill","Texas","1840153118"
"Palmer","Texas","1840153117"
"Stockton Bend","Texas","1840153116"
"Tonkawa Tribal Housing","Oklahoma","1840153115"
"Pumpkin Hollow","Oklahoma","1840153114"
"Cave Spring","Oklahoma","1840153113"
"Caney","Oklahoma","1840153112"
"Johnson Prairie","Oklahoma","1840153111"
"Lakeview","Mississippi","1840153110"
"Dorseyville","Louisiana","1840153109"
"New Orleans Station","Louisiana","1840153108"
"Pine Ridge","South Carolina","1840153107"
"Wyboo","South Carolina","1840153106"
"Buckhead","Georgia","1840153105"
"Antioch","Georgia","1840153104"
"Oak Grove","Arkansas","1840153103"
"Halls","Tennessee","1840153102"
"Oak Bluffs","Massachusetts","1840153101"
"Roberdel","North Carolina","1840153100"
"Arrowhead Beach","North Carolina","1840153099"
"Paac Ciinak","Wisconsin","1840153098"
"Jolmaville","Wisconsin","1840153097"
"Sand Pillow","Wisconsin","1840153096"
"Mission","Wisconsin","1840153095"
"Bayfront","Wisconsin","1840153094"
"Poplar Plains","Connecticut","1840153093"
"Lakes West","Connecticut","1840153092"
"Long Hill","Connecticut","1840153091"
"Weston","Connecticut","1840153090"
"New Canaan","Connecticut","1840153089"
"Route 7 Gateway","Connecticut","1840153088"
"Darien Downtown","Connecticut","1840153087"
"Staples","Connecticut","1840153086"
"Taylor Corners","Connecticut","1840153085"
"Trumbull Center","Connecticut","1840153084"
"Westport Village","Connecticut","1840153083"
"Bridgewater","Connecticut","1840153082"
"Cornwall","Connecticut","1840153081"
"Lakes East","Connecticut","1840153080"
"Sherman","Connecticut","1840153079"
"Redding Center","Connecticut","1840153078"
"Stratford Downtown","Connecticut","1840153077"
"Lowpoint","Illinois","1840153076"
"Rest Haven","Illinois","1840153075"
"Campbell's Island","Illinois","1840153074"
"Kingston","Illinois","1840153073"
"Lakewood","Illinois","1840153072"
"Shiloh","Ohio","1840153071"
"Salem Heights","Ohio","1840153070"
"Lincoln Heights","Ohio","1840153069"
"Harrisburg","Ohio","1840153067"
"Camp Barrett","Virginia","1840153066"
"Union Mill","Virginia","1840153065"
"Braddock","Virginia","1840153064"
"Bull Run","Virginia","1840153063"
"Sully Square","Virginia","1840153062"
"Difficult Run","Virginia","1840153061"
"Innovation","Virginia","1840153060"
"Great Falls Crossing","Virginia","1840153059"
"Schooner Bay","Virginia","1840153058"
"Big Stone Gap East","Virginia","1840153057"
"Hutchison","Virginia","1840153056"
"Ten Mile Creek","Maryland","1840153055"
"Brown Station","Maryland","1840153054"
"Silver Lake","New Jersey","1840153053"
"Cumberland-Hesstown","New Jersey","1840153052"
"Ampere North","New Jersey","1840153051"
"Cranford","New Jersey","1840153050"
"Rutgers University-Busch Campus","New Jersey","1840153049"
"Bridgewater Center","New Jersey","1840153048"
"Hillsborough","New Jersey","1840153047"
"Rutgers University-Livingston Campus","New Jersey","1840153046"
"Lower Berkshire Valley","New Jersey","1840153045"
"Springfield","New Jersey","1840153044"
"Union","New Jersey","1840153043"
"Greenwich","New Jersey","1840153042"
"Marlboro","New Jersey","1840153041"
"Deerfield Street","New Jersey","1840153040"
"Lakeside-Beebe Run","New Jersey","1840153039"
"Bedminster","New Jersey","1840153038"
"Mount Tabor","New Jersey","1840153037"
"Fredericksburg","Pennsylvania","1840153036"
"Penn State Berks","Pennsylvania","1840153035"
"Newburg","Pennsylvania","1840153034"
"Frazer","Pennsylvania","1840153033"
"Bald Eagle","Pennsylvania","1840153032"
"Unionville","Pennsylvania","1840153031"
"Marshallton","Pennsylvania","1840153030"
"Red Hill","Pennsylvania","1840153029"
"Westwood","Pennsylvania","1840153028"
"Chadds Ford","Pennsylvania","1840153027"
"Ski Gap","Pennsylvania","1840153026"
"Wayne","Pennsylvania","1840153025"
"Bala Cynwyd","Pennsylvania","1840153024"
"Beavertown","Pennsylvania","1840153023"
"Spring Drive Mobile Home Park","Pennsylvania","1840153022"
"Vicksburg","Pennsylvania","1840153021"
"Millerstown","Pennsylvania","1840153020"
"Jugtown","Pennsylvania","1840153019"
"Cheltenham Village","Pennsylvania","1840153018"
"Frankstown","Pennsylvania","1840153017"
"Maxatawny","Pennsylvania","1840153016"
"Carlisle Barracks","Pennsylvania","1840153015"
"Nottingham","Pennsylvania","1840153014"
"Gray","Pennsylvania","1840153013"
"Clifton Knolls-Mill Creek","New York","1840153012"
"De Witt","New York","1840153011"
"New Baltimore","New York","1840153010"
"White Lake","New York","1840153009"
"Danby","New York","1840153008"
"Jefferson","New York","1840153007"
"Marcy","New York","1840153006"
"Fallsburg","New York","1840153005"
"Westford","New York","1840153004"
"Walworth","New York","1840153003"
"Cornish","Maine","1840153002"
"Corinna","Maine","1840153001"
"Veazie","Maine","1840153000"
"Lisbon","Maine","1840152999"
"Rangeley","Maine","1840152998"
"Island Falls","Maine","1840152997"
"Jonesport","Maine","1840152996"
"South Berwick","Maine","1840152995"
"Milbridge","Maine","1840152994"
"Vanceboro","Maine","1840152993"
"Kingfield","Maine","1840152992"
"Greene","Maine","1840152991"
"Mattawamkeag","Maine","1840152990"
"Patten","Maine","1840152989"
"Bethel","Maine","1840152988"
